Analysis,Group,Type,Distance,Time,Subject
Response,Cosine,Real,0.015079675,T50,1
Response,Cosine,Real,0.089781527,T50,2
Response,Cosine,Real,NaN,T50,3
Response,Cosine,Real,0.121696687,T50,4
Response,Cosine,Real,0.347069858,T50,5
Response,Cosine,Real,0.005642501,T50,6
Response,Cosine,Real,NaN,T50,7
Response,Cosine,Real,0.156073057,T50,8
Response,Cosine,Real,NaN,T50,9
Response,Cosine,Real,0.050879443,T50,10
Response,Cosine,Real,0.008123225,T50,11
Response,Cosine,Real,5.12E-05,T50,12
Response,Cosine,Real,0.00046318,T50,13
Response,Cosine,Real,0.025106137,T100,1
Response,Cosine,Real,0.029345215,T100,2
Response,Cosine,Real,8.81E-05,T100,3
Response,Cosine,Real,0.078988254,T100,4
Response,Cosine,Real,NaN,T100,5
Response,Cosine,Real,0.153143751,T100,6
Response,Cosine,Real,0.148814502,T100,7
Response,Cosine,Real,0.235948388,T100,8
Response,Cosine,Real,0.618379175,T100,9
Response,Cosine,Real,0.2034771,T100,10
Response,Cosine,Real,0.010659712,T100,11
Response,Cosine,Real,0.067682433,T100,12
Response,Cosine,Real,NaN,T100,13
Response,Cosine,Real,NaN,T150,1
Response,Cosine,Real,0.052254462,T150,2
Response,Cosine,Real,0.014833475,T150,3
Response,Cosine,Real,0.063414676,T150,4
Response,Cosine,Real,0.186729963,T150,5
Response,Cosine,Real,0.059646186,T150,6
Response,Cosine,Real,0.000475484,T150,7
Response,Cosine,Real,0.173674339,T150,8
Response,Cosine,Real,0.000605547,T150,9
Response,Cosine,Real,0.178018664,T150,10
Response,Cosine,Real,NaN,T150,11
Response,Cosine,Real,0.009860492,T150,12
Response,Cosine,Real,0.003983267,T150,13
Response,Cosine,Real,0.006909349,T200,1
Response,Cosine,Real,0.08473824,T200,2
Response,Cosine,Real,0.020073887,T200,3
Response,Cosine,Real,0.000539643,T200,4
Response,Cosine,Real,0.144356503,T200,5
Response,Cosine,Real,0.050044329,T200,6
Response,Cosine,Real,0.003312335,T200,7
Response,Cosine,Real,NaN,T200,8
Response,Cosine,Real,0.045375028,T200,9
Response,Cosine,Real,0.061188416,T200,10
Response,Cosine,Real,0.001840547,T200,11
Response,Cosine,Real,0.076312368,T200,12
Response,Cosine,Real,0.022748755,T200,13
Response,Cosine,Real,0.113840683,T250,1
Response,Cosine,Real,0.01100791,T250,2
Response,Cosine,Real,0.021399512,T250,3
Response,Cosine,Real,0.019424287,T250,4
Response,Cosine,Real,0.00312347,T250,5
Response,Cosine,Real,0.114834563,T250,6
Response,Cosine,Real,0.031874089,T250,7
Response,Cosine,Real,0.327724715,T250,8
Response,Cosine,Real,0.002038856,T250,9
Response,Cosine,Real,0.272220964,T250,10
Response,Cosine,Real,0.043824144,T250,11
Response,Cosine,Real,0.410070406,T250,12
Response,Cosine,Real,0.110767134,T250,13
Response,Cosine,Real,0.142195566,T300,1
Response,Cosine,Real,0.364920738,T300,2
Response,Cosine,Real,0.208659193,T300,3
Response,Cosine,Real,0.046637705,T300,4
Response,Cosine,Real,NaN,T300,5
Response,Cosine,Real,0.000611003,T300,6
Response,Cosine,Real,0.110977331,T300,7
Response,Cosine,Real,0.128482698,T300,8
Response,Cosine,Real,NaN,T300,9
Response,Cosine,Real,0.051937925,T300,10
Response,Cosine,Real,0.007564634,T300,11
Response,Cosine,Real,0.119678364,T300,12
Response,Cosine,Real,0.044744146,T300,13
Response,Cosine,Sim,0.01022333,T50,1
Response,Cosine,Sim,0.276434246,T50,2
Response,Cosine,Sim,0.089774817,T50,3
Response,Cosine,Sim,0.047004562,T50,4
Response,Cosine,Sim,0.029232767,T50,5
Response,Cosine,Sim,0.035064983,T50,6
Response,Cosine,Sim,0.03408246,T50,7
Response,Cosine,Sim,0.036243043,T50,8
Response,Cosine,Sim,0.010972835,T50,9
Response,Cosine,Sim,0.009339584,T50,10
Response,Cosine,Sim,0.029869004,T50,11
Response,Cosine,Sim,0.030306443,T50,12
Response,Cosine,Sim,0.021176678,T50,13
Response,Cosine,Sim,0.022409566,T100,1
Response,Cosine,Sim,0.024593407,T100,2
Response,Cosine,Sim,0.036548255,T100,3
Response,Cosine,Sim,0.019544488,T100,4
Response,Cosine,Sim,0.331081161,T100,5
Response,Cosine,Sim,0.168880835,T100,6
Response,Cosine,Sim,0.049748482,T100,7
Response,Cosine,Sim,0.075887588,T100,8
Response,Cosine,Sim,0.002640075,T100,9
Response,Cosine,Sim,0.235738249,T100,10
Response,Cosine,Sim,0.048133031,T100,11
Response,Cosine,Sim,0.042244336,T100,12
Response,Cosine,Sim,NaN,T100,13
Response,Cosine,Sim,0.033161554,T150,1
Response,Cosine,Sim,0.068833595,T150,2
Response,Cosine,Sim,0.040627104,T150,3
Response,Cosine,Sim,0.13790944,T150,4
Response,Cosine,Sim,0.064294683,T150,5
Response,Cosine,Sim,0.186042979,T150,6
Response,Cosine,Sim,0.063726073,T150,7
Response,Cosine,Sim,0.061084441,T150,8
Response,Cosine,Sim,0.021752421,T150,9
Response,Cosine,Sim,0.203817079,T150,10
Response,Cosine,Sim,NaN,T150,11
Response,Cosine,Sim,0.03094583,T150,12
Response,Cosine,Sim,0.043695412,T150,13
Response,Cosine,Sim,0.010056362,T200,1
Response,Cosine,Sim,0.102934889,T200,2
Response,Cosine,Sim,0.199446895,T200,3
Response,Cosine,Sim,0.102514343,T200,4
Response,Cosine,Sim,0.104308586,T200,5
Response,Cosine,Sim,0.204155033,T200,6
Response,Cosine,Sim,0.188859717,T200,7
Response,Cosine,Sim,NaN,T200,8
Response,Cosine,Sim,0.092984059,T200,9
Response,Cosine,Sim,0.122201189,T200,10
Response,Cosine,Sim,0.028609398,T200,11
Response,Cosine,Sim,0.089060716,T200,12
Response,Cosine,Sim,0.025070055,T200,13
Response,Cosine,Sim,0.037593495,T250,1
Response,Cosine,Sim,0.051184394,T250,2
Response,Cosine,Sim,0.04269773,T250,3
Response,Cosine,Sim,0.039170035,T250,4
Response,Cosine,Sim,0.070586984,T250,5
Response,Cosine,Sim,0.036577223,T250,6
Response,Cosine,Sim,0.034821311,T250,7
Response,Cosine,Sim,0.065751972,T250,8
Response,Cosine,Sim,0.120108127,T250,9
Response,Cosine,Sim,0.03142961,T250,10
Response,Cosine,Sim,0.033525578,T250,11
Response,Cosine,Sim,0.048619153,T250,12
Response,Cosine,Sim,0.188139362,T250,13
Response,Cosine,Sim,0.172179036,T300,1
Response,Cosine,Sim,0.053789213,T300,2
Response,Cosine,Sim,0.042629918,T300,3
Response,Cosine,Sim,0.152362509,T300,4
Response,Cosine,Sim,NaN,T300,5
Response,Cosine,Sim,0.205974725,T300,6
Response,Cosine,Sim,0.256954354,T300,7
Response,Cosine,Sim,0.061775853,T300,8
Response,Cosine,Sim,NaN,T300,9
Response,Cosine,Sim,0.250642699,T300,10
Response,Cosine,Sim,0.162466434,T300,11
Response,Cosine,Sim,0.059203771,T300,12
Response,Cosine,Sim,0.052375945,T300,13